GEOID,NAME,total_popE,total_popM,median_incomeE,median_incomeM,whiteE,whiteM,blackE,blackM,native_americanE,native_americanM,asianE,asianM,pacific_islanderE,pacific_islanderM,other_raceE,other_raceM,two_or_moreE,two_or_moreM,hispanicE,hispanicM,age_medianE,age_medianM
01003,"Baldwin County, Alabama",233420,NA,71039,2374,195998,1247,19445,746,848,325,2046,347,31,32,4414,1216,10638,1169,11210,NA,43.7,0.3
01015,"Calhoun County, Alabama",116162,NA,54339,2221,83306,575,25631,449,258,132,765,148,207,190,2223,519,3772,531,4736,NA,39.2,0.4
01043,"Cullman County, Alabama",88284,NA,58119,2269,81077,527,960,151,355,236,278,82,27,34,1460,575,4127,706,4056,NA,41.4,0.5
01049,"DeKalb County, Alabama",71680,NA,47920,2836,59102,727,1043,115,1098,449,72,44,413,570,6443,927,3509,589,11021,NA,39.6,0.5
01051,"Elmore County, Alabama",87694,NA,73258,2727,64769,458,18276,624,248,98,602,187,0,30,677,313,3122,698,2739,NA,38.9,0.7
01055,"Etowah County, Alabama",103348,NA,52177,1922,80555,408,15724,445,329,144,748,159,2,3,2404,500,3586,581,4561,NA,41.9,0.4
01069,"Houston County, Alabama",107040,NA,55064,1412,71260,382,29166,235,309,86,987,103,39,26,967,290,4312,373,3844,NA,40.4,0.3
01073,"Jefferson County, Alabama",672265,NA,63595,1305,338374,1420,287203,1616,1225,367,11712,493,167,45,13328,2012,20256,1781,27950,NA,37.9,0.2
01077,"Lauderdale County, Alabama",94329,NA,56081,3092,79592,632,9317,408,315,111,576,151,64,52,697,320,3768,829,2803,NA,40.8,0.6
01081,"Lee County, Alabama",175126,NA,59288,2943,120255,746,39363,702,270,113,7614,282,49,81,1894,613,5681,822,6780,NA,33,0.2
01083,"Limestone County, Alabama",104199,NA,80146,4029,80040,731,13714,485,880,334,1917,205,106,71,2571,684,4971,701,6588,NA,40.2,0.4
01089,"Madison County, Alabama",389781,NA,78058,2232,254819,1115,95400,996,2008,320,9675,662,255,103,6988,921,20636,1452,20611,NA,38.5,0.3
01095,"Marshall County, Alabama",97923,NA,58272,2006,83991,935,2746,279,877,469,600,75,78,87,4197,667,5434,723,14751,NA,38.8,0.3
01097,"Mobile County, Alabama",413878,NA,55352,1348,234657,605,150071,982,1625,295,8383,416,95,53,5107,767,13940,1071,12565,NA,38.2,0.2
01101,"Montgomery County, Alabama",228132,NA,56707,1821,74723,594,134763,727,333,154,7604,235,8,13,3126,592,7575,946,8597,NA,36.9,0.3
01103,"Morgan County, Alabama",123102,NA,61588,2499,94056,690,16631,671,471,228,605,120,31,36,5058,878,6250,850,10845,NA,40.6,0.4
01115,"St. Clair County, Alabama",91719,NA,73218,4451,78169,405,8985,397,310,118,373,210,61,95,1215,632,2606,602,2325,NA,41,0.5
01117,"Shelby County, Alabama",223916,NA,90618,3328,174752,999,29118,559,533,261,4491,314,22,26,6362,927,8638,1000,13195,NA,40,0.3
01121,"Talladega County, Alabama",81105,NA,52457,2838,51186,246,25893,409,124,70,350,109,50,58,979,219,2523,450,1997,NA,42.1,0.3
01125,"Tuscaloosa County, Alabama",231558,NA,61645,2209,143889,814,74222,802,393,276,3817,306,24,38,2009,902,7204,993,9261,NA,32.8,0.3
02020,"Anchorage Municipality, Alaska",290674,NA,95731,2829,172004,1355,15469,820,21507,1067,28440,1050,8563,433,7728,1290,36963,2107,28162,NA,34.5,0.1
02090,"Fairbanks North Star Borough, Alaska",96299,NA,81655,4690,68726,733,3979,446,6733,837,3032,313,653,25,1672,514,11504,1216,8038,NA,32.1,0.3
02170,"Matanuska-Susitna Borough, Alaska",108661,NA,86435,2503,86055,451,1392,140,6743,510,1956,184,464,110,1449,312,10602,639,6074,NA,36.3,0.2
04001,"Apache County, Arizona",66054,NA,37483,3091,13556,511,585,78,48176,380,374,28,71,32,877,254,2415,477,4634,NA,35.6,0.3
04003,"Cochise County, Arizona",125504,NA,58421,2593,89661,1541,5001,597,1170,300,2435,277,415,137,5341,843,21481,1455,44809,NA,41.4,0.4
04005,"Coconino County, Arizona",144705,NA,67266,1828,84752,838,2212,217,36616,697,2713,284,222,114,7698,848,10492,1023,21314,NA,31.7,0.3
04013,"Maricopa County, Arizona",4430871,NA,80675,588,2954182,9985,252690,3521,83296,2792,189627,2721,9195,675,339881,7796,602000,9206,1402753,NA,37.1,0.1
04015,"Mohave County, Arizona",214229,NA,53592,1874,178146,1480,2422,329,4136,526,2313,224,494,135,9613,1297,17105,1650,37218,NA,52.9,0.2
04017,"Navajo County, Arizona",107110,NA,50335,2034,49409,760,1194,215,46154,641,418,132,152,93,3409,585,6374,839,12728,NA,38.7,0.5
04019,"Pima County, Arizona",1042393,NA,64323,957,686722,5660,36039,1518,35278,2148,30281,1009,1635,270,104543,5179,147895,5687,397081,NA,39,0.2
04021,"Pinal County, Arizona",433338,NA,73313,1177,299613,3725,19867,857,20660,1071,6791,475,1560,182,33521,2454,51326,3849,135346,NA,39.8,0.2
04025,"Yavapai County, Arizona",237830,NA,62430,1633,201005,1502,1543,233,3296,375,2480,322,161,99,10385,1244,18960,1352,36080,NA,54.5,0.2
04027,"Yuma County, Arizona",204374,NA,56439,1344,118769,2691,3969,688,2662,451,2254,191,87,50,23954,1931,52679,2744,133381,NA,35.3,0.1
05007,"Benton County, Arkansas",286528,NA,85269,1607,205967,3325,5374,411,3225,447,12068,388,1963,122,10490,1682,47441,3370,49721,NA,35.7,0.1
