GEOID,NAME,total_pop,B01003_001M,median_income,B19013_001M,white,B02001_002M,black,B02001_003M,native_american,B02001_004M,asian,B02001_005M,pacific_islander,B02001_006M,some_other_race,B02001_007M,two_or_more_races,B02001_008M,median_age,B01002_001M
01001,"Autauga County, Alabama",59285,NA,69841,5512,43616,310,11829,406,42,41,616,232,0,31,460,328,2722,518,39.2,0.7
01003,"Baldwin County, Alabama",239945,NA,75019,2751,198721,1300,19144,773,980,350,2272,347,104,98,5440,1149,13284,1446,43.7,0.2
01005,"Barbour County, Alabama",24757,NA,44290,2762,10891,238,11616,127,46,31,136,19,0,25,1337,295,731,191,40.7,0.4
01007,"Bibb County, Alabama",22152,NA,51215,6678,16634,204,4587,230,175,149,51,58,0,25,80,93,625,257,41.3,0.7
01009,"Blount County, Alabama",59292,NA,61096,3328,53062,635,747,154,235,159,51,53,88,85,2055,603,3054,563,40.9,0.5
01011,"Bullock County, Alabama",10157,NA,36723,6836,2327,158,7234,109,0,21,47,51,0,21,328,192,221,140,40.4,4.8
01013,"Butler County, Alabama",18807,NA,44881,4130,9622,70,8411,81,69,47,249,62,0,21,78,56,378,136,42.2,0.5
01015,"Calhoun County, Alabama",116141,NA,55826,2168,82465,519,25515,537,302,123,925,151,198,173,2421,451,4315,632,39,0.5
01017,"Chambers County, Alabama",34450,NA,49295,5005,19089,335,13697,125,16,24,201,122,3,5,716,327,728,234,41.5,0.8
01019,"Cherokee County, Alabama",25224,NA,50769,4891,23017,140,948,199,103,49,39,65,0,25,165,72,952,219,47.4,0.6
01021,"Chilton County, Alabama",45500,NA,61873,2954,36815,619,4175,192,616,600,222,60,156,200,1365,409,2151,425,39.5,0.6
01023,"Choctaw County, Alabama",12525,NA,44483,4856,7101,20,4782,228,15,23,22,31,0,21,52,50,553,228,47,0.5
01025,"Clarke County, Alabama",22802,NA,49167,4873,11749,107,10360,151,9,16,71,28,0,25,217,133,396,156,42.5,0.5
01027,"Clay County, Alabama",14188,NA,51852,3549,11424,130,1840,180,19,36,47,23,0,21,161,116,697,247,43.8,0.6
01029,"Cleburne County, Alabama",15254,NA,53319,4481,14158,82,598,61,42,35,16,25,0,21,206,100,234,108,42.3,1.2
01031,"Coffee County, Alabama",54231,NA,64672,3538,38780,374,8991,457,312,93,509,113,49,13,1228,312,4362,560,38.8,0.4
01033,"Colbert County, Alabama",57648,NA,56736,4001,44984,148,9103,310,94,59,229,145,19,23,1020,312,2199,437,42.3,0.6
01035,"Conecuh County, Alabama",11411,NA,42266,4545,5730,30,5221,201,17,25,27,29,0,21,30,31,386,196,46.3,1.4
01037,"Coosa County, Alabama",10323,NA,57063,5500,6664,190,3065,72,13,18,0,21,0,21,111,137,470,174,50.3,0.4
01039,"Covington County, Alabama",37647,NA,50886,4230,31325,125,4417,183,83,47,151,60,0,28,245,110,1426,246,42.8,0.4
01041,"Crenshaw County, Alabama",13144,NA,49040,4592,9280,62,3071,143,28,31,153,50,5,10,111,72,496,183,42.4,0.9
01043,"Cullman County, Alabama",89463,NA,60916,2736,81402,533,958,131,312,183,499,129,19,26,1823,591,4450,755,41.1,0.5
01045,"Dale County, Alabama",49516,NA,53955,2136,33971,346,10504,255,333,142,654,89,37,17,1227,294,2790,398,38,0.6
01047,"Dallas County, Alabama",37536,NA,36810,3543,10207,89,26467,407,93,38,226,11,0,28,43,48,500,403,40.3,0.5
01049,"DeKalb County, Alabama",71946,NA,51149,2343,58471,844,923,123,1059,417,145,64,418,537,6809,1015,4121,682,39.6,0.4
01051,"Elmore County, Alabama",88669,NA,75553,3115,64984,390,18685,499,204,88,604,185,3,4,722,350,3467,587,38.9,0.7
