,,22_names,23_names
"","","Houston County, Alabama","Houston County, Alabama"
"","","Apache County, Arizona","Apache County, Arizona"
"","","Los Angeles County, California","Los Angeles County, California"
"","","Sonoma County, California","Sonoma County, California"
"","","Alameda County, California","Alameda County, California"
"","","Mendocino County, California","Mendocino County, California"
"","","Mesa County, Colorado","Mesa County, Colorado"
"","","Napa County, California","Napa County, California"
"","","Sussex County, Delaware","Sussex County, Delaware"
"","","Miami-Dade County, Florida","Miami-Dade County, Florida"
"","","Lee County, Florida","Lee County, Florida"
"","","Escambia County, Florida","Escambia County, Florida"
"","","Cook County, Illinois","Cook County, Illinois"
"","","Richmond County, Georgia","Richmond County, Georgia"
"","","Effingham County, Georgia","Effingham County, Georgia"
"","","Canyon County, Idaho","Canyon County, Idaho"
"","","Marquette County, Michigan","Marquette County, Michigan"
"","","Scott County, Iowa","Scott County, Iowa"
"","","Onondaga County, New York","Onondaga County, New York"
"","","Orange County, New York","Orange County, New York"
"","","Denver County, Colorado","Denver County, Colorado"
"","","Hardin County, Kentucky","Hardin County, Kentucky"
"","","Macomb County, Michigan","Macomb County, Michigan"
"","","Jefferson Parish, Louisiana","Jefferson Parish, Louisiana"
"","","Matanuska-Susitna Borough, Alaska","Matanuska-Susitna Borough, Alaska"
"","","Baltimore County, Maryland","Baltimore County, Maryland"
"","","Montgomery County, Maryland","Montgomery County, Maryland"
"","","Elmore County, Alabama","Elmore County, Alabama"
"","","Barnstable County, Massachusetts","Barnstable County, Massachusetts"
"","","Hampden County, Massachusetts","Hampden County, Massachusetts"
"","","Etowah County, Alabama","Etowah County, Alabama"
"","","St. Clair County, Alabama","St. Clair County, Alabama"
"","","St. Louis County, Minnesota","St. Louis County, Minnesota"
"","","Cape Girardeau County, Missouri","Cape Girardeau County, Missouri"
"","","Gallatin County, Montana","Gallatin County, Montana"
"","","Cumberland County, New Jersey","Cumberland County, New Jersey"
"","","Warren County, New Jersey","Warren County, New Jersey"
"","","Burlington County, New Jersey","Burlington County, New Jersey"
"","","Middlesex County, New Jersey","Middlesex County, New Jersey"
"","","Carteret County, North Carolina","Carteret County, North Carolina"
"","","Cuyahoga County, Ohio","Cuyahoga County, Ohio"
"","","Josephine County, Oregon","Josephine County, Oregon"
"","","Delaware County, Pennsylvania","Delaware County, Pennsylvania"
"","","Erie County, Pennsylvania","Erie County, Pennsylvania"
"","","York County, South Carolina","York County, South Carolina"
"","","Lancaster County, South Carolina","Lancaster County, South Carolina"
"","","Hamilton County, Tennessee","Hamilton County, Tennessee"
"","","Sullivan County, Tennessee","Sullivan County, Tennessee"
"","","Blount County, Tennessee","Blount County, Tennessee"
"","","Harris County, Texas","Harris County, Texas"
"","","Wood County, West Virginia","Wood County, West Virginia"
"","","Loudoun County, Virginia","Loudoun County, Virginia"
"","","Grays Harbor County, Washington","Grays Harbor County, Washington"
"","","Pierce County, Washington","Pierce County, Washington"
"","","Sutter County, California","Sutter County, California"
"","","Osceola County, Florida","Osceola County, Florida"
"","","Sumter County, Florida","Sumter County, Florida"
"","","Putnam County, Florida","Putnam County, Florida"
"","","Gwinnett County, Georgia","Gwinnett County, Georgia"
"","","Newton County, Georgia","Newton County, Georgia"
"","","Hampshire County, Massachusetts","Hampshire County, Massachusetts"
"","","Scott County, Minnesota","Scott County, Minnesota"
"","","Rankin County, Mississippi","Rankin County, Mississippi"
"","","Cascade County, Montana","Cascade County, Montana"
"","","Madison County, New York","Madison County, New York"
"","","Pitt County, North Carolina","Pitt County, North Carolina"
"","","Harnett County, North Carolina","Harnett County, North Carolina"
"","","Moore County, North Carolina","Moore County, North Carolina"
"","","Burke County, North Carolina","Burke County, North Carolina"
"","","Buncombe County, North Carolina","Buncombe County, North Carolina"
"","","Marion County, Ohio","Marion County, Ohio"
"","","Cleveland County, Oklahoma","Cleveland County, Oklahoma"
"","","Lancaster County, Pennsylvania","Lancaster County, Pennsylvania"
"","","Dauphin County, Pennsylvania","Dauphin County, Pennsylvania"
"","","Centre County, Pennsylvania","Centre County, Pennsylvania"
"","","Indiana County, Pennsylvania","Indiana County, Pennsylvania"
"","","Pickens County, South Carolina","Pickens County, South Carolina"
"","","Florence County, South Carolina","Florence County, South Carolina"
"","","Pennington County, South Dakota","Pennington County, South Dakota"
"","","Ellis County, Texas","Ellis County, Texas"
"","","Williamson County, Texas","Williamson County, Texas"
"","","Henderson County, Texas","Henderson County, Texas"
"","","Angelina County, Texas","Angelina County, Texas"
"","","Taylor County, Texas","Taylor County, Texas"
"","","Weber County, Utah","Weber County, Utah"
"","","Salt Lake County, Utah","Salt Lake County, Utah"
"","","Hanover County, Virginia","Hanover County, Virginia"
"","","Albemarle County, Virginia","Albemarle County, Virginia"
"","","Bedford County, Virginia","Bedford County, Virginia"
"","","Augusta County, Virginia","Augusta County, Virginia"
"","","Montgomery County, Virginia","Montgomery County, Virginia"
"","","Benton County, Washington","Benton County, Washington"
"","","Harrison County, West Virginia","Harrison County, West Virginia"
"","","Sauk County, Wisconsin","Sauk County, Wisconsin"
"","","Mayagüez Municipio, Puerto Rico","Mayagüez Municipio, Puerto Rico"
"","","Carolina Municipio, Puerto Rico","Carolina Municipio, Puerto Rico"
"","","Ponce Municipio, Puerto Rico","Ponce Municipio, Puerto Rico"
"","","New Castle County, Delaware","New Castle County, Delaware"
"","","Shasta County, California","Shasta County, California"
"","","Maricopa County, Arizona","Maricopa County, Arizona"
"","","Volusia County, Florida","Volusia County, Florida"
"","","Pasco County, Florida","Pasco County, Florida"
"","","Citrus County, Florida","Citrus County, Florida"
"","","Walton County, Florida","Walton County, Florida"
"","","Duval County, Florida","Duval County, Florida"
"","","Hernando County, Florida","Hernando County, Florida"
"","","DuPage County, Illinois","DuPage County, Illinois"
"","","Rock Island County, Illinois","Rock Island County, Illinois"
"","","Muscogee County, Georgia","Muscogee County, Georgia"
"","","Glynn County, Georgia","Glynn County, Georgia"
"","","Madison County, Alabama","Madison County, Alabama"
"","","Benton County, Arkansas","Benton County, Arkansas"
"","","Mohave County, Arizona","Mohave County, Arizona"
"","","Coconino County, Arizona","Coconino County, Arizona"
"","","Santa Barbara County, California","Santa Barbara County, California"
"","","Ventura County, California","Ventura County, California"
"","","Imperial County, California","Imperial County, California"
"","","Riverside County, California","Riverside County, California"
"","","Humboldt County, California","Humboldt County, California"
"","","Weld County, Colorado","Weld County, Colorado"
"","","Larimer County, Colorado","Larimer County, Colorado"
"","","Capitol Planning Region, Connecticut","Capitol Planning Region, Connecticut"
"","","Lucas County, Ohio","Lucas County, Ohio"
"","","Lane County, Oregon","Lane County, Oregon"
"","","Fayette County, Pennsylvania","Fayette County, Pennsylvania"
"","","Franklin County, Pennsylvania","Franklin County, Pennsylvania"
"","","Providence County, Rhode Island","Providence County, Rhode Island"
"","","Aiken County, South Carolina","Aiken County, South Carolina"
"","","Orange County, Florida","Orange County, Florida"
"","","Monroe County, Michigan","Monroe County, Michigan"
"","","Johnson County, Indiana","Johnson County, Indiana"
"","","New York County, New York","New York County, New York"
"","","Oneida County, New York","Oneida County, New York"
"","","Jefferson County, Colorado","Jefferson County, Colorado"
"","","Cattaraugus County, New York","Cattaraugus County, New York"
"","","Caddo Parish, Louisiana","Caddo Parish, Louisiana"
"","","York County, Maine","York County, Maine"
"","","Aroostook County, Maine","Aroostook County, Maine"
"","","Fairbanks North Star Borough, Alaska","Fairbanks North Star Borough, Alaska"
"","","St. Mary's County, Maryland","St. Mary's County, Maryland"
"","","Charles County, Maryland","Charles County, Maryland"
"","","Frederick County, Maryland","Frederick County, Maryland"
"","","Washington County, Maryland","Washington County, Maryland"
"","","Cullman County, Alabama","Cullman County, Alabama"
"","","Talladega County, Alabama","Talladega County, Alabama"
"","","Suffolk County, Massachusetts","Suffolk County, Massachusetts"
"","","Bristol County, Massachusetts","Bristol County, Massachusetts"
"","","Clay County, Minnesota","Clay County, Minnesota"
